`,name,unit,invert,weighting,type,min,max,description,detail,source,year
1.1.8,Fixed line broadband cost (% of monthly GNI per capita),%,TRUE,0.125,continuous,0,100,"The fixed-broadband basket refers to the price of a monthly subscription to an entry level fixed broadband plan. It is calculated as a percentage of a country’s average monthly GNI p.c. The fixed-broadband basket is based on a monthly data usage of (a minimum of) 5 GB. For plans that limit the monthly amount of data transferred by including data volume caps below 5 GB, the cost for the additional bytes is added to the basket. The minimum speed of a broadband connection is 256 kbit/s.

Gross National Income (GNI) per capita data is from the World Bank World Development Indicators, 2019 (or last available year). GNI per capita current LCU is used for all cases, unless when prices are registered in USD. In those cases the Atlas method (current US$) is used instead.","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",ITU,Latest as available for country
1.2.1,"Cost of entry-level handset that is internet enabled, expressed as a percentage of monthly GNI per capita",%,TRUE,0.500,continuous,0,100,"This indicator measures the indexed score of the price of an entry-level handset to the consumer, as a percentage of GNI per capita. This indicator is based on the Mobile Connectivity Index, developed by GSMA.

Gross National Income (GNI) per capita data is from the World Bank World Development Indicators, 2019 (or last available year). GNI per capita current LCU is used for all cases, unless when prices are registered in USD. In those cases the Atlas method (current US$) is used instead.","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",GSMA,Latest as available for country
1.2.2,Computer users,%,,0.500,continuous,0,100,This indicator measures the percentage of households that have a computer,"Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",ITU,Latest as available for country
1.3.1,Urban electricity access,%,,0.500,continuous,0,100,"This captures the urban electrification rate, i.e. the percentage of urban population with access to electricity. Electrification data are collected from industry, national surveys and international sources.","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",World Bank,Latest as available for country
1.3.2,Rural electricity access,%,,0.500,continuous,0,100,"This captures the rural electrification rate, i.e. the percentage of rural population with access to electricity. Electrification data are collected from industry, national surveys and international sources.","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",World Bank,Latest as available for country
1.4.1,Households with television,%,,0.500,continuous,0,100,Television can serve as a mass disseminator of education in countries that are at the lower end of the maturity spectrum when it comes to digital education. This indicator measures the availability of TV infrastructure in a country.,"Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",ITU,Latest as available for country
1.4.2,Television subscriptions,%,,0.500,continuous,0,100,This indicator covers cable TV subscriptions. Cable-TV subscriptions refer to multichannel TV programming delivered over coaxial cable networks. It includes both analogue and digital cable-TV subscriptions. If the breakdown of analogue/digital cable-TV subscriptions is available; data for each type of cable-TV subscriptions should be specified in a note. It excludes IPTV delivered over cable-TV networks.,"Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",ITU,Latest as available for country
2.1.1,Is there a national plan/strategy for EdTech adoption as part of the education policy?,Numerical score,,0.333,discrete,0,3,This question examines whether the introduction and continuation of digital education is a part of the formal policy formulation of the national government. It also measures how comprehensive the policy/plan/strategy is in terms of the number and types of goals it covers.,"0 = No
1 = Yes, and it covers one of the below objectives
2 = Yes, and it covers two of the below objectives
3 = Yes, and it covers all three objectives

Objectives: digitising national curriculum, increasing device access for schools, and rolling out a national EdTech Learning Management System (LMS) and/or Information Management System (IMS) platform (either developed by the government independently, or in partnership with a private player)

Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0. ",EI research,2021
2.1.2,Is the government providing funding for the use of technology in education?,Numerical score,,0.333,discrete,0,1,"This indicator examines the government's commitment to digital education via funding. For this question, evidence of funding for expanding digital education could include the government's financing of initiatives around digital education (e.g. providing EdTech access to schools, training of teachers in EdTech, and expansion of internet infrastructure (the latter would count only if the stated purpose of the expansion is to increase digital education readiness). Alternatively, evidence of a documented commitment of funding within the last three years would count. This would likely be available via policy/strategy documents of the country's education ministry or other relevant agency.","0 = No
1 = Yes

Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0. ",EI research,2021
2.1.3,Does the country have a data privacy/security law applicable to private EdTech companies?,Numerical score,,0.333,discrete,0,1,"As the EdTech space is increasingly becoming dotted with private players setting up digital platforms for learning that collect personal data of students, teachers and parents who use these platforms, a strong legal framework that protects this data from any form of misuse is critical. This indicator measures a country's ability to do so. If the country has a data protection law that covers all private companies, without specifying private EdTech providers, this would count as evidence.","0 = No, it does not have a privacy law OR it has a privacy law that does not cover private companies
1 = Yes, it has a privacy law and it applies to private EdTech players or covers all private entities in its scope, leading to interpretation of inclusion of private EdTech players

Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0. ",EI research,2021
2.2.1,Does the government provide digital content for education?,Numerical score,,0.500,discrete,0,1,"As part of promoting digital learning readiness, this indicator measures the government's own role in digitizing the curriculum. Evidence for this question may take either of a few different forms, for example:

-The government has a prescribed curriculum, and it has digitized this curriculum (or a part of it)
-The government has a digital learning platform which also houses content created by itself
-The government has dedicated online resources for students and/or teachers (educational websites, online assessment websites, training websites, digital library etc.)","0 = No
1 = Yes

Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0. ",EI research,2021
2.2.2,Does the government's learning/information management platform have the capability for education performance measurement?,Numerical score,,0.500,discrete,0,2,"This indicator assesses the extent to which the country's official learning platform, if it exists, has matured to the point of being able to collect and analyse students' performance data.","0 = No OR the government does not have a learning or information management platform
1 = The government's learning or information management platform is equipped to digitally collect and analyse educational performance data, but does not have a functionality to deliver assessment and testing online.
2 = The government's learning or information management platform is equipped to digitally collect and analyse educational performance data, but and also has a functionality to deliver assessment and testing online.

Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0. ",EI research,2021
2.3.1,Is the government facilitating/conducting training of teachers in digital skills?,Numerical score,,1.000,discrete,0,3,"This metric assesses institutional progress in equipping teachers with the necessary know-how and skills to integrate technology in teaching functions, from conducting classes to performance assessment.","0 = The government has not taken any steps
1 = The government has developed a digital skills/education curriculum for the training of teachers
2 = The government has developed programmes/initiatives to train teachers in digital skills/education but it is not included in their formal training as teachers
3 = Digital skills/education is included in the formal training of teachers

Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0. ",EI research,2021
3.1.1,Have teachers received adequate training in digital skills that covers skills required for EdTech? (Overall),Numerical score,,0.111,discrete,0,1,"The survey question corresponding to this is: Have you received digital/ICT skills training or any training on how to use technology to deliver education online? 
a. No, I have not received any digital/ ICT skills training
b. Yes, I have received basic training that did not cover the skills required for EdTech
c. Yes, I have received training that covered skills required for EdTech","0 = No OR they have received digital skills training, but it did not cover skills required for EdTech
1 = Yes, they have received digital skills training including skills required for EdTech
 
Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.1a,Have teachers received digital skills training covering skills required for EdTech? (Schools),Numerical score,,0.333,discrete,0,1,"The survey question corresponding to this is: Have you received digital/ICT skills training or any training on how to use technology to deliver education online? 
a. No, I have not received any digital/ ICT skills training
b. Yes, I have received basic training that did not cover the skills required for EdTech
c. Yes, I have received training that covered skills required for EdTech","0 = No OR they have received digital skills training, but it did not cover skills required for EdTech
1 = Yes, they have received digital skills training including skills required for EdTech
 
Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.1b,Have teachers received digital skills training covering skills required for EdTech? (Universities),Numerical score,,0.333,discrete,0,1,"The survey question corresponding to this is: Have you received digital/ICT skills training or any training on how to use technology to deliver education online? 
a. No, I have not received any digital/ ICT skills training
b. Yes, I have received basic training that did not cover the skills required for EdTech
c. Yes, I have received training that covered skills required for EdTech","0 = No OR they have received digital skills training, but it did not cover skills required for EdTech
1 = Yes, they have received digital skills training including skills required for EdTech
 
Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.1c,Have teachers received adequate training in digital skills that covers skills required for EdTech? (TVET),Numerical score,,0.333,discrete,0,1,"The survey question corresponding to this is: Have you received digital/ICT skills training or any training on how to use technology to deliver education online? 
a. No, I have not received any digital/ ICT skills training
b. Yes, I have received basic training that did not cover the skills required for EdTech
c. Yes, I have received training that covered skills required for EdTech","0 = No OR they have received digital skills training, but it did not cover skills required for EdTech
1 = Yes, they have received digital skills training including skills required for EdTech
 
Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.2,Do teachers use digital platforms to conduct classes? (Overall),Numerical score,,0.111,discrete,0,2,"The survey question corresponding to this is: What platform do you use to conduct classes? (Please select all that apply)
a. I don't use any platform
b. Government online education platform
c. Other online learning platforms (Google Classroom, Edmodo, Edubuntu, Khan Academy, etc.)
d. Social media (ex: YouTube, Facebook, Telegram, WhatsApp)
e. Video calling platforms (ex: Zoom, Google Meet)","0 = No
 1 = Teachers predominantly use social media and/or video calling platforms
 2 = Teachers predominantly use digital learning platforms (government or private)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.2a,Do teachers use digital platforms to conduct classes? (Schools),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: What platform do you use to conduct classes? (Please select all that apply)
a. I don't use any platform
b. Government online education platform
c. Other online learning platforms (Google Classroom, Edmodo, Edubuntu, Khan Academy, etc.)
d. Social media (ex: YouTube, Facebook, Telegram, WhatsApp)
e. Video calling platforms (ex: Zoom, Google Meet)","0 = No
 1 = Teachers predominantly use social media and/or video calling platforms
 2 = Teachers predominantly use digital learning platforms (government or private)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.2b,Do teachers use digital platforms to conduct classes? (Universities),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: What platform do you use to conduct classes? (Please select all that apply)
a. I don't use any platform
b. Government online education platform
c. Other online learning platforms (Google Classroom, Edmodo, Edubuntu, Khan Academy, etc.)
d. Social media (ex: YouTube, Facebook, Telegram, WhatsApp)
e. Video calling platforms (ex: Zoom, Google Meet)","0 = No
 1 = Teachers predominantly use social media and/or video calling platforms
 2 = Teachers predominantly use digital learning platforms (government or private)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.2c,Use of digital platforms in teaching: Do teachers use digital platforms to conduct classes? (TVET),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: What platform do you use to conduct classes? (Please select all that apply)
a. I don't use any platform
b. Government online education platform
c. Other online learning platforms (Google Classroom, Edmodo, Edubuntu, Khan Academy, etc.)
d. Social media (ex: YouTube, Facebook, Telegram, WhatsApp)
e. Video calling platforms (ex: Zoom, Google Meet)","0 = No
 1 = Teachers predominantly use social media and/or video calling platforms
 2 = Teachers predominantly use digital learning platforms (government or private)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.3,"Do teachers use digital platforms to communicate with students? (e.g. providing information, updates, class scheduling) (Overall)",Numerical score,,0.111,discrete,0,2,"The survey question corresponding to this is: What platform do you use to communicate and/or share digital content with students? (Please select all that apply. If the answer is (c), please write the name of the platform)
a. I don’t use any digital platform
b. Government online education platform
c. Other online learning platforms (ex: Google Classroom, Edmodo, Edubuntu, Khan Academy) (Please write the name of the platform)
d. Social media (ex: YouTube, Facebook)
e. Social messaging application (ex: Telegram, WhatsApp) 
f. Online file sharing (ex: Dropbox, Google Drive, Xender)
g. Email","0 = No
1 = Teachers predominantly use social media, social messaging and/or email
2 = Teachers predominantly use digital learning platforms (government or private) and or file sharing media
 
Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.3a,Do teachers use digital platforms to communicate with students? (Schools),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: What platform do you use to communicate and/or share digital content with students? (Please select all that apply. If the answer is (c), please write the name of the platform)
a. I don’t use any digital platform
b. Government online education platform
c. Other online learning platforms (ex: Google Classroom, Edmodo, Edubuntu, Khan Academy) (Please write the name of the platform)
d. Social media (ex: YouTube, Facebook)
e. Social messaging application (ex: Telegram, WhatsApp) 
f. Online file sharing (ex: Dropbox, Google Drive, Xender)
g. Email","0 = No
1 = Teachers predominantly use social media, social messaging and/or email
2 = Teachers predominantly use digital learning platforms (government or private) and or file sharing media
 
Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.3b,Do teachers use digital platforms to communicate with students? (Universities),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: What platform do you use to communicate and/or share digital content with students? (Please select all that apply. If the answer is (c), please write the name of the platform)
a. I don’t use any digital platform
b. Government online education platform
c. Other online learning platforms (ex: Google Classroom, Edmodo, Edubuntu, Khan Academy) (Please write the name of the platform)
d. Social media (ex: YouTube, Facebook)
e. Social messaging application (ex: Telegram, WhatsApp) 
f. Online file sharing (ex: Dropbox, Google Drive, Xender)
g. Email","0 = No
1 = Teachers predominantly use social media, social messaging and/or email
2 = Teachers predominantly use digital learning platforms (government or private) and or file sharing media
 
Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.3c,Do teachers use digital platforms to communicate with students? (TVET),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: What platform do you use to communicate and/or share digital content with students? (Please select all that apply. If the answer is (c), please write the name of the platform)
a. I don’t use any digital platform
b. Government online education platform
c. Other online learning platforms (ex: Google Classroom, Edmodo, Edubuntu, Khan Academy) (Please write the name of the platform)
d. Social media (ex: YouTube, Facebook)
e. Social messaging application (ex: Telegram, WhatsApp) 
f. Online file sharing (ex: Dropbox, Google Drive, Xender)
g. Email","0 = No
1 = Teachers predominantly use social media, social messaging and/or email
2 = Teachers predominantly use digital learning platforms (government or private) and or file sharing media
 
Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.4,Do teachers use digital platforms for online assessment? (Overall),Numerical score,,0.111,discrete,0,4,"The survey question corresponding to this is: I use technology to complete these tasks related to student assessment [Please select all that apply]
a. Create an assessment 
b. Have students complete the assessment 
c. Grade the assessment
d. Evaluate students' mastery of course content based upon the assessment
e. None of the above","0 = No
 1 = Teachers use digital platforms but only for creating assignments
 2 = Teachers use digital platforms for creating assignments as well as having students complete those assignments.
 3 = Teachers use digital platforms for creating assignments, having students complete those assignments, and grading them.
 4 = Teachers use digital platforms for creating assignments, having students complete those assignments, grading them, and evaluating students' mastery of course based on the assessment.
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.4a,Do teachers use digital platforms for online assessment? (Schools),Numerical score,,0.333,discrete,0,4,"The survey question corresponding to this is: I use technology to complete these tasks related to student assessment [Please select all that apply]
a. Create an assessment 
b. Have students complete the assessment 
c. Grade the assessment
d. Evaluate students' mastery of course content based upon the assessment
e. None of the above","0 = No
 1 = Teachers use digital platforms but only for creating assignments
 2 = Teachers use digital platforms for creating assignments as well as having students complete those assignments.
 3 = Teachers use digital platforms for creating assignments, having students complete those assignments, and grading them.
 4 = Teachers use digital platforms for creating assignments, having students complete those assignments, grading them, and evaluating students' mastery of course based on the assessment.
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.4b,Do teachers use digital platforms for online assessment? (Universities),Numerical score,,0.333,discrete,0,4,"The survey question corresponding to this is: I use technology to complete these tasks related to student assessment [Please select all that apply]
a. Create an assessment 
b. Have students complete the assessment 
c. Grade the assessment
d. Evaluate students' mastery of course content based upon the assessment
e. None of the above","0 = No
 1 = Teachers use digital platforms but only for creating assignments
 2 = Teachers use digital platforms for creating assignments as well as having students complete those assignments.
 3 = Teachers use digital platforms for creating assignments, having students complete those assignments, and grading them.
 4 = Teachers use digital platforms for creating assignments, having students complete those assignments, grading them, and evaluating students' mastery of course based on the assessment.
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.4c,Do teachers use digital platforms for online assessment? (TVET),Numerical score,,0.333,discrete,0,4,"The survey question corresponding to this is: I use technology to complete these tasks related to student assessment [Please select all that apply]
a. Create an assessment 
b. Have students complete the assessment 
c. Grade the assessment
d. Evaluate students' mastery of course content based upon the assessment
e. None of the above","0 = No
 1 = Teachers use digital platforms but only for creating assignments
 2 = Teachers use digital platforms for creating assignments as well as having students complete those assignments.
 3 = Teachers use digital platforms for creating assignments, having students complete those assignments, and grading them.
 4 = Teachers use digital platforms for creating assignments, having students complete those assignments, grading them, and evaluating students' mastery of course based on the assessment.
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.5,Do teachers engage in creating learning content themselves? (Overall),Numerical score,,0.111,discrete,0,2,"The survey question corresponding to this is: Do you teach using digital content? Who provides/creates this content? (Includes digitised textbooks and other multimedia content) [Please select all that apply]
a. I don’t use digital content
b. Content is created by me
c. Content is provided by the government
d. Content is from private EdTech providers
e. Content is from other sources (for e.g., online resources)","0 = Teachers do not use digital content
 1 = Teachers use digital content, but the content is provided by the government, private EdTech providers or other sources (e.g. online resources)
 2 = Teachers create digital content themselves
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
