SeriesID,SeriesCode,ParentCode,Depth,HasData,IsDependent,IndexNumber,IndicatorName,Unit,Source,Description,Notes,Minimum,Maximum,Pre_Round,Polarity,ScoringSystem,ScoringParameter_1,ScoringParameter_2,ScoringParameter_3,Data_Type,DP,ZERO,ONE,TWO,THREE,FOUR,FIVE,SIX,DP,NumberedSeries,NumberFormat,Children,Parent,ScoreSummary,ScoreExplanation,Qual_Key,IndicatorTypeDescription,,DEFAULT_WEIGHT_NOMINAL,DEFAULT_WEIGHT_PERCENT
11,AFBD,AVAILABILITY_02,3,1,0,1.2.2,Average fixed broadband download speed,Kbps,Ookla,Measure of average fixed-line broadband download speed,"This measures average fixed broadband download speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",3640,193210,With caveat,1,2,,,,1,0,,,,,,,,,1.2.2) Average fixed broadband download speed,"#,##0",1.2.1) Average fixed broadband upload speed{NL}1.2.2) Average fixed broadband download speed{NL}1.2.3) Average fixed broadband latency{NL}1.2.4) Average mobile upload speed{NL}1.2.5) Average mobile download speed{NL}1.2.6) Average mobile latency{NL}1.2.7) Bandwidth capacity{NL},AVAILABILITY -> QUALITY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Measure of average fixed-line broadband download speed{NL}{NL}This measures average fixed broadband download speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.{NL}{NL}UNDERLYING DATA SERIES{NL}Average fixed broadband download speed, Kbps{NL}{NL}SOURCE{NL}Ookla",,QUANTITATIVE DATA INDICATOR,,1,0.142857143
12,AFBL,AVAILABILITY_02,3,1,0,1.2.3,Average fixed broadband latency,ms,Ookla,Measure of how long it takes data to travel between its source and destination,"This measures average fixed broadband latency. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",8,165,With caveat,2,2,,,,1,0,,,,,,,,,1.2.3) Average fixed broadband latency,"#,##0",,AVAILABILITY -> QUALITY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Measure of how long it takes data to travel between its source and destination{NL}{NL}This measures average fixed broadband latency. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.{NL}{NL}UNDERLYING DATA SERIES{NL}Average fixed broadband latency, ms{NL}{NL}SOURCE{NL}Ookla",,QUANTITATIVE DATA INDICATOR,,1,0.142857143
13,AMUS,AVAILABILITY_02,3,1,0,1.2.4,Average mobile upload speed,Kbps,EIU; Ookla,Measure of average mobile upload speed,"This measures average mobile upload speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",4460,21850,With caveat,1,2,,,,1,0,,,,,,,,,1.2.4) Average mobile upload speed,"#,##0",,AVAILABILITY -> QUALITY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Measure of average mobile upload speed{NL}{NL}This measures average mobile upload speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.{NL}{NL}UNDERLYING DATA SERIES{NL}Average mobile upload speed, Kbps{NL}{NL}SOURCE{NL}EIU; Ookla",,QUANTITATIVE DATA INDICATOR,,1,0.142857143
14,AMDS,AVAILABILITY_02,3,1,0,1.2.5,Average mobile download speed,Kbps,EIU; Ookla,Measure of average mobile download speed,"This measures average mobile download speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",126,117790,With caveat,1,2,,,,1,0,,,,,,,,,1.2.5) Average mobile download speed,"#,##0",,AVAILABILITY -> QUALITY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Measure of average mobile download speed{NL}{NL}This measures average mobile download speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.{NL}{NL}UNDERLYING DATA SERIES{NL}Average mobile download speed, Kbps{NL}{NL}SOURCE{NL}EIU; Ookla",,QUANTITATIVE DATA INDICATOR,,1,0.142857143
15,AMLL,AVAILABILITY_02,3,1,0,1.2.6,Average mobile latency,ms,EIU; Ookla,Measure of how long it takes data to travel between its source and destination,"This measures average mobile latency. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",24,114,With caveat,2,2,,,,1,0,,,,,,,,,1.2.6) Average mobile latency,"#,##0",,AVAILABILITY -> QUALITY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Measure of how long it takes data to travel between its source and destination{NL}{NL}This measures average mobile latency. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.{NL}{NL}UNDERLYING DATA SERIES{NL}Average mobile latency, ms{NL}{NL}SOURCE{NL}EIU; Ookla",,QUANTITATIVE DATA INDICATOR,,1,0.142857143
16,IIBP,AVAILABILITY_02,3,1,0,1.2.7,Bandwidth capacity,Bit/s per Internet user,ITU,"Total used capacity of international Internet bandwidth, in bits per second per Internet user. ",Used international Internet bandwidth refers to the average traffic load (expressed in bit/s) of international fiber-optic cables and radio links for carrying Internet traffic.,540,8203481,Yes,1,2,,,,1,0,,,,,,,,,1.2.7) Bandwidth capacity,"#,##0",,AVAILABILITY -> QUALITY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Total used capacity of international Internet bandwidth, in bits per second per Internet user. {NL}{NL}Used international Internet bandwidth refers to the average traffic load (expressed in bit/s) of international fiber-optic cables and radio links for carrying Internet traffic.{NL}{NL}UNDERLYING DATA SERIES{NL}Bandwidth capacity, Bit/s per Internet user{NL}{NL}SOURCE{NL}ITU",,QUANTITATIVE DATA INDICATOR,,1,0.142857143
17,AVAILABILITY_03,AVAILABILITY,2,0,0,1.3,Infrastructure,,,Infrastructure measures the network availability and access points to an Internet or mobile connection.,,,,,1,1,,,,,1,,,,,,,,,1.3) INFRASTRUCTURE,"#,0.0",1.3.1) Network coverage (min. 2G){NL}1.3.2) Network coverage (min. 3G){NL}1.3.3) Network coverage (min. 4G){NL}1.3.4) 5G deployment{NL}1.3.5) Government initiatives to make Wi-Fi available{NL}1.3.6) Private sector initiatives to make Wi-Fi available{NL}1.3.7) Internet exchange points{NL},AVAILABILITY,,COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Infrastructure measures the network availability and access points to an Internet or mobile connection.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}1.3.1) Network coverage (min. 2G){NL}1.3.2) Network coverage (min. 3G){NL}1.3.3) Network coverage (min. 4G){NL}1.3.4) 5G deployment{NL}1.3.5) Government initiatives to make Wi-Fi available{NL}1.3.6) Private sector initiatives to make Wi-Fi available{NL}1.3.7) Internet exchange points{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE SUB-CATEGORY SCORE,,1,0.25
18,CCNP,AVAILABILITY_03,3,1,0,1.3.1,Network coverage (min. 2G),% of population,ITU,Percentage of the population covered by a mobile-cellular network refers to the percentage of inhabitants within range of a mobile-cellular signal;  irrespective of whether or not they are subscribers or users. ,"This is calculated by dividing the number of inhabitants within range of a mobile-cellular signal by the total population and multiplying by 100. 2G networks include the following mobile broadband technologies: cdmaOne, CDMA2000 1X, GSM, PDC, PHS, iDEN, and TDMA. 

Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries. ",53.65,100,Yes,1,2,,,,1,2,,,,,,,,,1.3.1) Network coverage (min. 2G),"#,0.00",,AVAILABILITY -> INFRASTRUCTURE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Percentage of the population covered by a mobile-cellular network refers to the percentage of inhabitants within range of a mobile-cellular signal;  irrespective of whether or not they are subscribers or users. {NL}{NL}This is calculated by dividing the number of inhabitants within range of a mobile-cellular signal by the total population and multiplying by 100. 2G networks include the following mobile broadband technologies: cdmaOne, CDMA2000 1X, GSM, PDC, PHS, iDEN, and TDMA. 

Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries. {NL}{NL}UNDERLYING DATA SERIES{NL}Network coverage (min. 2G), % of population{NL}{NL}SOURCE{NL}ITU",,QUANTITATIVE DATA INDICATOR,,0.5,0.090909091
19,3GCP,AVAILABILITY_03,3,1,0,1.3.2,Network coverage (min. 3G),% of population,ITU; Secretary of State for Digital Advancement (SEAD),Percentage of the population covered by at least a 3G mobile network refers to the percentage of inhabitants that are within range of at least a 3G mobile-cellular signal;  irrespective of whether or not they are subscribers. ,"This is calculated by dividing the number of inhabitants that are covered by at least a 3G mobile-cellular signal by the total population and multiplying by 100. 3G networks include the following mobile broadband technologies: CDMA2000 1xEV-DO, CDMA2000 1xEV-DO Rev. A, CDMA2000 1xEV-DO Rev. B, WCDMA, WCDMA HSPA, and TD-SCDMA.

Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries. ",33,100,Yes,1,2,,,,1,2,,,,,,,,,1.3.2) Network coverage (min. 3G),"#,0.00",1.3.1) Network coverage (min. 2G){NL}1.3.2) Network coverage (min. 3G){NL}1.3.3) Network coverage (min. 4G){NL}1.3.4) Government initiatives to make Wi-Fi available{NL}1.3.5) Private sector initiatives to make Wi-Fi available{NL}1.3.6) Internet exchange points{NL},AVAILABILITY -> INFRASTRUCTURE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Percentage of the population covered by at least a 3G mobile network refers to the percentage of inhabitants that are within range of at least a 3G mobile-cellular signal;  irrespective of whether or not they are subscribers. {NL}{NL}This is calculated by dividing the number of inhabitants that are covered by at least a 3G mobile-cellular signal by the total population and multiplying by 100. 3G networks include the following mobile broadband technologies: CDMA2000 1xEV-DO, CDMA2000 1xEV-DO Rev. A, CDMA2000 1xEV-DO Rev. B, WCDMA, WCDMA HSPA, and TD-SCDMA.

Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries. {NL}{NL}UNDERLYING DATA SERIES{NL}Network coverage (min. 3G), % of population{NL}{NL}SOURCE{NL}ITU; Secretary of State for Digital Advancement (SEAD)",,QUANTITATIVE DATA INDICATOR,,0.5,0.090909091
20,LTCP,AVAILABILITY_03,3,1,0,1.3.3,Network coverage (min. 4G),% of population,ITU; Secretary of State for Digital Advancement (SEAD),Percentage of the population covered by at least an LTE/WiMAX mobile network refers to the percentage of inhabitants that live within range of LTE/LTE-Advanced;  mobile WiMAX/WirelessMAN or other more advanced mobile-cellular networks;  irrespective of whether or not they are subscribers. ,"This is calculated by dividing the number of inhabitants that are covered by the previously mentioned mobile-cellular technologies by the total population and multiplying by 100. It excludes people covered only by HSPA;  UMTS;  EV-DO and previous 3G technologies;  and also excludes fixed WiMAX coverage. 

Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries. ",0,100,Yes,1,2,,,,1,2,,,,,,,,,1.3.3) Network coverage (min. 4G),"#,0.00",,AVAILABILITY -> INFRASTRUCTURE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Percentage of the population covered by at least an LTE/WiMAX mobile network refers to the percentage of inhabitants that live within range of LTE/LTE-Advanced;  mobile WiMAX/WirelessMAN or other more advanced mobile-cellular networks;  irrespective of whether or not they are subscribers. {NL}{NL}This is calculated by dividing the number of inhabitants that are covered by the previously mentioned mobile-cellular technologies by the total population and multiplying by 100. It excludes people covered only by HSPA;  UMTS;  EV-DO and previous 3G technologies;  and also excludes fixed WiMAX coverage. 

Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries. {NL}{NL}UNDERLYING DATA SERIES{NL}Network coverage (min. 4G), % of population{NL}{NL}SOURCE{NL}ITU; Secretary of State for Digital Advancement (SEAD)",,QUANTITATIVE DATA INDICATOR,,1,0.181818182
21,5GCP,AVAILABILITY_03,3,1,0,1.3.4,5G deployment,"Qualitative rating 0-2, 2=best",EIU; Ookla 5G Map,Has 5G been implemented in any city in the country either for full commercial use or for trials?,"Assesses whether operators have implemented 5G New Radio (NR) technology in the country, including as part of a trial or a fuller commercial deployment. Limited availability refers to a 5G network that is present but where devices are limited to select users, usually in a testing environment. Commercial availability refers to a 5G network where any consumer can purchase a device for use on this network.

Note: This indicator was included for the first time in the fourth edition.",0,2,NO_NEW,1,3,0,2,,2,0,"No, 5G has not been implemented in any city in the country","Yes, 5G has been implemented in at least one city for trials","Yes, 5G has been implemented in at least one city for full commercial or public usage",,,,,,1.3.4) 5G deployment,"#,##0",,AVAILABILITY -> INFRASTRUCTURE,,"QUALITATIVE DATA INDICATOR{NL}{NL}Has 5G been implemented in any city in the country either for full commercial use or for trials?{NL}{NL}Assesses whether operators have implemented 5G New Radio (NR) technology in the country, including as part of a trial or a fuller commercial deployment. Limited availability refers to a 5G network that is present but where devices are limited to select users, usually in a testing environment. Commercial availability refers to a 5G network where any consumer can purchase a device for use on this network.

Note: This indicator was included for the first time in the fourth edition.{NL}{NL}UNDERLYING DATA SERIES{NL}5G deployment, Qualitative rating 0-2, 2=best{NL}{NL}0 = No, 5G has not been implemented in any city in the country{NL}1 = Yes, 5G has been implemented in at least one city for trials{NL}2 = Yes, 5G has been implemented in at least one city for full commercial or public usage{NL}{NL}SOURCE{NL}EIU; Ookla 5G Map",,QUALITATIVE DATA INDICATOR,,0.5,0.090909091
