id,IndicatorName,min,max,invert,weighting,Unit,Source,Description,Notes,Pre_Round,ScoringSystem,ScoringParameter_1,ScoringParameter_2,ScoringParameter_3,Data_Type,DP,ZERO,ONE,TWO,THREE,FOUR,FIVE,SIX
1.2.6,Average mobile latency,24,114,true,0.142857143,ms,EIU; Ookla,Measure of how long it takes data to travel between its source and destination,"This measures average mobile latency. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance. Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",With caveat,2,,,,1,0,,,,,,,
1.2.7,Bandwidth capacity,540,8203481,,0.142857143,Bit/s per Internet user,ITU,"Total used capacity of international Internet bandwidth, in bits per second per Internet user. ",Used international Internet bandwidth refers to the average traffic load (expressed in bit/s) of international fiber-optic cables and radio links for carrying Internet traffic.,Yes,2,,,,1,0,,,,,,,
1.3.1,Network coverage (min. 2G),0,100,,0.090909091,% of population,ITU,Percentage of the population covered by a mobile-cellular network refers to the percentage of inhabitants within range of a mobile-cellular signal;  irrespective of whether or not they are subscribers or users. ,"This is calculated by dividing the number of inhabitants within range of a mobile-cellular signal by the total population and multiplying by 100. 2G networks include the following mobile broadband technologies: cdmaOne, CDMA2000 1X, GSM, PDC, PHS, iDEN, and TDMA.  Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries. ",Yes,2,,,,1,2,,,,,,,
1.3.2,Network coverage (min. 3G),0,100,,0.090909091,% of population,ITU; Secretary of State for Digital Advancement (SEAD),Percentage of the population covered by at least a 3G mobile network refers to the percentage of inhabitants that are within range of at least a 3G mobile-cellular signal;  irrespective of whether or not they are subscribers. ,"This is calculated by dividing the number of inhabitants that are covered by at least a 3G mobile-cellular signal by the total population and multiplying by 100. 3G networks include the following mobile broadband technologies: CDMA2000 1xEV-DO, CDMA2000 1xEV-DO Rev. A, CDMA2000 1xEV-DO Rev. B, WCDMA, WCDMA HSPA, and TD-SCDMA. Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries. ",Yes,2,,,,1,2,,,,,,,
1.3.3,Network coverage (min. 4G),0,100,,0.181818182,% of population,ITU; Secretary of State for Digital Advancement (SEAD),Percentage of the population covered by at least an LTE/WiMAX mobile network refers to the percentage of inhabitants that live within range of LTE/LTE-Advanced;  mobile WiMAX/WirelessMAN or other more advanced mobile-cellular networks;  irrespective of whether or not they are subscribers. ,This is calculated by dividing the number of inhabitants that are covered by the previously mentioned mobile-cellular technologies by the total population and multiplying by 100. It excludes people covered only by HSPA;  UMTS;  EV-DO and previous 3G technologies;  and also excludes fixed WiMAX coverage.  Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries. ,Yes,2,,,,1,2,,,,,,,
1.3.4,5G deployment,0,2,,0.090909091,"Qualitative rating 0-2, 2=best",EIU; Ookla 5G Map,Has 5G been implemented in any city in the country either for full commercial use or for trials?,"Assesses whether operators have implemented 5G New Radio (NR) technology in the country, including as part of a trial or a fuller commercial deployment. Limited availability refers to a 5G network that is present but where devices are limited to select users, usually in a testing environment. Commercial availability refers to a 5G network where any consumer can purchase a device for use on this network. Note: This indicator was included for the first time in the fourth edition.",NO_NEW,3,0,2,,2,0,"No, 5G has not been implemented in any city in the country","Yes, 5G has been implemented in at least one city for trials","Yes, 5G has been implemented in at least one city for full commercial or public usage",,,,
1.3.5,Government initiatives to make Wi-Fi available,0,2,,0.181818182,"Qualitative rating 0-2, 2=best",EIU,Does the government provide public Wi-Fi access in the largest city in the country and is it free to connect to? ,"Assesses whether the network is free to join or not. _Public_ means that the Wi-Fi network and associated hotspot(s) must be accessible in a public park, library, public building, airport, train or ferry terminal.   ""Largest city"" means largest city in the country by population.",Yes,3,0,2,,2,0,"No, the government does not provide public Wi-Fi access in the largest city in the country","Yes, the government does provide public Wi-Fi access in the largest city in the country","Yes, the government does provide public Wi-Fi access in the largest city and the country and it is free",,,,
1.3.6,Private sector initiatives to make Wi-Fi available,0,2,,0.181818182,"Qualitative rating 0-2, 2=best",EIU,Does the largest privately-owned ISP provide public Wi-Fi access to its customers in the largest city in the country and is it free to connect to?,"Assesses whether the network is free to join or not and whether the public Wi-Fi is available to anyone (general population, tourists, etc.) or just to customers of the largest ISP in the country. The largest ISP means the largest private-sector run ISP, not state-owned. ""Public"" means that the Wi-Fi network and associated hotspot(s) must be accessible in a public park, library, public building, airport, train or ferry terminal.  ""Largest city"" means largest city in the country by population.",Yes,3,0,2,,2,0,"No, the largest privately-owned ISP does not provide public Wi-Fi access in the largest city in the country, nor does any other privately-owned ISP","Yes, either the largest privately-owned ISP or other privately-owned ISPs do provide public Wi-Fi access in the largest city in the country","Yes, either the largest privately-owned ISP or other privately-owned ISPs do provide public Wi-Fi access in the largest city in the country and it is free",,,,
1.3.7,Internet exchange points,0,35,,0.181818182,Number of IXPs per 10 million inhabitants,EIU; PCH; PeeringDB; Telegeography,Measures the number of Internet exchange points (IXPs) in each country,IXPs are physical network access point through which major network providers connect their networks and exchange traffic. This indicator accounts for only those IXPs that are considered active.,Yes,2,,,,1,2,,,,,,,
1.4.1,Urban electricity access,0,100,,0.5,% of population,WEO-IEA; World Bank; World Energy Council,Urban electrification rate (%),"Access to electricity is calculated as the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.",Yes,2,,,,1,2,,,,,,,
1.4.2,Rural electricity access,0,100,,0.5,% of population,WEO-IEA; World Bank; World Energy Council,Rural electrification rate (%),"Access to electricity is calculated as the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.",Yes,2,,,,1,2,,,,,,,
2.1.1,Smartphone cost (handset),0,100,,0.25,"Score of 0-100, 100=most affordable",EIU; GSMA,"Indexed scores of the price of entry-level handset to the consumer, as a percentage of GNI per capita","Assesses the cost of an entry-level handset that is internet-enabled, expressed as a percentage of monthly GNI per capita. Note: This indicator is based on the Mobile Connectivity Index, developed by GSMA. Given changes to the Mobile Connectivity Index over time (e.g., addition or removal of countries from year to year), scores for countries may not be directly comparable between different iterations. As a result, YoY comparisons for this indicator are not available in the Inclusive Internet Index.",NO,2,,,,1,1,,,,,,,
2.1.2,Mobile phone cost (prepaid tariff),0,100,true,0.25,% of monthly GNI per capita,A4AI; EIU; ITU,"Price of prepaid mobile data plan, 1 GB, as a percentage of monthly income","Monthly cost of a 1 GB prepaid mobile broadband data plan, expressed as a percentage of monthly GNI per capita. Note: This indicator was updated in the fourth edition to capture the cost of a 1 GB plan. It previously captured the cost of a 500 MB plan.",NO,2,,,,1,2,,,,,,,
2.1.3,Mobile phone cost (postpaid tariff),0,100,true,0.25,% of monthly GNI per capita,EIU; ITU; National Communications Commission,"Price of postpaid mobile data plan, 1 GB, as a percentage of monthly income","Monthly cost of a 1 GB postpaid mobile broadband data plan, expressed as a percentage of monthly GNI per capita. Note: This indicator was updated in the fourth edition to capture the cost of a 1 GB plan. It previously captured the cost of a 500 MB plan.",NO,2,,,,1,2,,,,,,,
2.1.4,Fixed-line monthly broadband cost,0,600,true,0.25,% of monthly GNI per capita,"ITU, National Statistics, Republic of China (Taiwan); ITU, UN; ITU, World Bank, WDI",Price of fixed-line monthly broadband to the consumer as a percentage of monthly income,Fixed (wired)-broadband monthly subscription charge refers to the monthly subscription charge for fixed (wired); broadband Internet service. Fixed (wired) broadband is considered to be any dedicated connection to the Internet at; downstream speeds equal to;  or greater than;  256 kbit/s. If several offers are available;  preference should be given to; the 256 kbit/s connection. (in USD),Yes,2,,,,1,2,,,,,,,
2.2.1,"Average revenue per user (ARPU, annualized)",8.4,652.8,,0.2,USD,Axiata; GSMA; GSMA Intelligence; ITU; TNM; Telegeography,Average annual revenue per user (ARPU) for wireless operators,ARPU is the annual average revenue per user calculated over the given period (twelve months for annual data). ARPU is used to measure consumer spending on mobile services. This measure of ARPU is 'Blended_ which means that both pre-paid and post-paid subscribers are being counted in the metric. The metric includes data and voice.,Yes,2,,,,1,1,,,,,,,
2.2.2,Wireless operators' market share,2455,10000,true,0.4,"HHI score (0-10,000)",Telegeography,"Measures the market concentration among all wireless operators. EIU calculates the Hirschman-Herfindahl Index which measures the concentration of markets as follows: HHI < 3,000 _unconcentrated_; HHI 3,000-4,000 _moderately concentrated_; HHI > 4,000 _highly concentrated_.","Wireless operators include those that provide 2G, 3G and 4G coverage via GSM, CDMA, W-CDMA, and LTE networks.",Yes,4,0,3000,4000,1,0,HHI>4000,HHI 3000-4000,HHI<3000,,,,
2.2.3,Broadband operators' market share,1482,10000,true,0.4,"HHI score (0-10,000)",EIU; Telegeography,"Measures the market concentration among all broadband operators. EIU calculates the Hirschman-Herfindahl Index which measures the concentration of markets as follows: HHI < 3,000 _unconcentrated_; HHI 3,000-4,000 _moderately concentrated_; HHI > 4,000 _highly concentrated_.","Broadband operators include those that provide broadband via the following technologies: DSL, cable, fiber/LAN, and WiMax, and others (eg satellite, broadband over powerline).",Yes,4,0,3000,4000,1,0,HHI>4000,HHI 3000-4000,HHI<3000,,,,
3.1.1,Availability of basic information in the local language,0,3,,0.4,"Qualitative rating 0-3, 3=best",EIU,Does the country have any domestic news websites that provide information online in local languages?,"Assesses whether there is local news for the largest metropolitan area in local languages, including both official and non-official languages. For countries with more than one official language, the justification covers each of the official languages. Non-official languages may include native, indigenous or minority languages (eg, immigrant populations) commonly spoken but not recognized as official languages. The availability of online news in non-official languages can help to empower native and minority communities to produce their own culturally and locally relevant online content. Note: This indicator was updated in the fourth edition.  It was previously scored on a 0-2 scale. An additional scoring option has been included to reward countries with online news sites in non-official languages.",NO,3,0,3,,2,0,"No, there are no news websites in any official or non-official language(s)","Yes, there are news websites in some of the official languages","Yes, there are news websites in all official languages OR there is only one official language and there are news websites in this language BUT there are no news websites in non-official languages","Yes, there are news websites in all official languages OR there is only one official language and there are news websites in this language AND there are also news websites in at least one non-official language",,,
3.1.2,Concentration of websites using country-level domains,0,3,,0.2,"Qualitative rating 0-3, 3=best",Alexa Internet,What percent of websites in the top 25 most-visited websites use a ccTLD?,"Top-level domains (TLDs) are set forth by the international organization, ICANN. TLDs with two letters (such as .de, .mx, and .jp) have been established for over 250 countries and external territories and are referred to as ""country-code"" TLDs or ""ccTLDs"". Importantly the significance is that, according to ICANN, ccTLDs are delegated to ""designated managers, who operate the ccTLDs according to local policies that are adapted to best meet the economic, cultural, linguistic, and legal circumstances of the country or territory involved.",Yes,3,0,3,,2,0,"No websites in the top 25 sites are local sites, or there is not enough data to determine the number of local sites",1-2 websites out of the top 25 are local sites,3-5 websites out of the top 25 are local sites,More than 5 of the top 25 websites are local sites,,,
3.1.3,Availability of e-Government services in the local language,0,2,,0.4,"Qualitative rating 0-2, 2=best",EIU,"Does the government of the largest city in the country have a website that offers transactional services, including applying for a business license or permit?","Assesses whether there is a local government website available for the largest city in the country and whether the site offers transactional services that can include: applying for any type of license or permit, registering for programs/services and paying bills and fees. If the city website provides downloadable applications, but the process is not entirely online, the country scores a 1. In order to score a 2, the entire process must be online.",Yes,3,0,2,,2,0,"No, the government of the largest city in the country does not have a website","Yes, the government of the largest city in the country does have a website but it does not allow for conducting transactional services online","Yes, the government of the largest city in the country does have a website and it does allow for conducting transactional services online",,,,
3.2.1,e-Finance content,0,2,,0.166666667,"Qualitative rating 0-2, 2=best",EIU,Does the largest retail banking institution offer online banking services?,"Assesses whether online banking services are offered by the largest retail bank by number of customers (retail and corporate). Online banking services must include, at a minimum, account access to view balances and transactions. In this question, Online is synonymous with mobile.",Yes,3,0,2,,2,0,"No, the largest retail banking institution does not offer online banking services","Yes, the largest retail banking institution does offer basic online banking services","Yes, the largest retail banking institution does offer basic and advanced online banking services",,,,
3.2.2,Value of e-finance,0,100,,0.083333333,%,EIU,Which of the following forms of useful information have you accessed via the internet at least once in the last year?,Ranked by responses indicating 'Information about personal finance',Yes,2,,,,1,1,,,,,,,
3.2.3,e-Health content,0,3,,0.166666667,"Qualitative rating 0-3, 3=best",EIU,Does the Ministry of Health in the country have a website that provides information or links to information regarding healthcare?,"Assesses the existence of online healthcare information, and whether e-Health services are provided online (eg, the ability to sign up for insurance, search for a doctor, etc). Healthcare information topics may include: vaccinations and immunizations, tobacco free living; preventing drug and alcohol abuse; healthy lifestyles; reproductive health; mental and emotional well-being. Note: This indicator was updated in the fourth edition. Whereas the indicator previously assessed availability of information on _disease prevention and wellness_, it now assesses availability of information _regarding healthcare_ and also includes an additional assessment of e-Health services provision.",NO,3,0,3,,2,0,"No, the Ministry of Health does not have a website","Yes, the Ministry of Health has a website that provides limited information and/or links to information regarding healthcare","Yes, the Ministry of Health has a website that provides information and/or links to information regarding healthcare","Yes, the Ministry of Health has a website that provides information and/or links to information regarding healthcare and also offers e-Health services (eg, insurance enrolment, healthcare provider search, interactive mobile app)",,,
3.2.4,Value of e-health,0,100,,0.083333333,%,EIU,Which of the following forms of useful information have you accessed via the internet at least once in the last year?,Ranked by responses indicating 'Information about health and fitness',Yes,2,,,,1,1,,,,,,,
3.2.5,e-Entertainment usage,0,100,,0.083333333,%,EIU,How often do you use the internet for entertainment purposes?,"Ranked by responses indicating 'Several times a day', 'Every day' and 'Several times a week'",Yes,2,,,,1,1,,,,,,,
3.2.6,e-Commerce content,0,100,,0.166666667,"Score of 0-100, 100=best",EIU; UNCTAD,"Seeks to measure the availability _ and extent of _ electronic commerce (e-commerce) in the country, which can serve both as a service to buy products but also to sell them.","Greater availability of online services is generally seen as improving chances for adoption. Note: This indicator is based on the B2C E-Commerce Index, developed by UNCTAD. Given changes to the B2C E-Commerce Index over time (e.g., addition or removal of countries from year to year), scores for countries may not be directly comparable between different iterations. As a result, YoY comparisons for this indicator are not available in the Inclusive Internet Index.",NO,2,0,100,,1,1,,,,,,,
3.2.7,Value of e-Commerce,0,100,,0.083333333,%,EIU,How often do you purchase goods via the internet?,Ranked by responses indicating 'About once a month',Yes,2,,,,1,1,,,,,,,
3.2.8,Open data policies,0,2,,0.166666667,"Qualitative rating 0-2, 2=best",EIU,Does the government have an open data policy that applies to public sector data?,"Assesses whether the government has a formal open data policy that applies to the public sector (i.e. the government makes public sector data_both public and publicly-funded data_publicly available to the general population), and whether the government has an open data website/platform that centralizes this data. Examples of an open data website/platform include https://www.data.gov/ (United States), https://data.gov.in/ (India), https://datos.gob.ar/ (Argentina). Note: This indicator was included for the first time in the fourth edition.",NO_NEW,3,0,2,,2,0,"No, the government does not have an open data policy that applies to public sector data","Yes, the government has an open data policy that applies to public sector data but has not developed an open data website/platform","Yes, the government has an open data policy that applies to public sector data and has an open data website/platform",,,,
4.1.1,Level of literacy,0,100,,0.25,% of population,EIU; Social Indicators of Hong Kong; UNESCO,"Literate population over 15, expressed as a percentage of the total population","Assesses the extent of literacy within countries. In order to use the Internet for useful purposes, such as to read news, access health or educational information, people must have the ability to read. ",Yes,2,0,100,,1,1,,,,,,,
4.1.2,Educational attainment,0,15,,0.25,Years of schooling,Pew Research Center; UNDP,Mean years of schooling (ISCED 1 or higher),Assesses educational attainment through average years of schooling (ISCED 1 or higher). Many studies show that adoption is higher among highly educated population groups. ,Yes,2,0,20,,1,1,,,,,,,
4.1.3,Support for digital literacy,0,3,,0.25,"Qualitative rating 0-3, 3=best",EIU,Does the government have a plan or strategy that addresses digital literacy for students and training for teachers?,"Assesses the existence of a strategy that supports digital literacy whereby the government plan or strategy should address courses in ICT skills, computer science, programming, or other classes where computers are mandatory in the curriculum. The plan or strategy must also address training teachers on ICT skills.",Yes,3,0,3,,2,0,"No, the government does not have a plan or strategy that addresses digital literacy for students and training for teachers","Yes, the government's plan or strategy addresses digital literacy for students, but it does not include training for teachers or the plan is outdated","Yes, the government's plan or strategy is current, addresses digital literacy for students and includes training for teachers","Yes, the government's plan or strategy is current, addresses digital literacy for students and includes training for teachers and is introduced at the primary school level",,,
4.1.4,Level of web accessibility,0,4,,0.25,"Qualitative rating 0-4, 4=best",EIU,Does the national government website pass W3C guidelines on web accessibility?,"Assesses whether the main national government website is compliant. People with disabilities, such as sight impairment, may not be able to use websites if they are not accessible and adaptive. Being compliant with W3C guidelines, an international standard, greatly enhances the chance they can use websites.",Yes,3,0,4,,2,0,The national portal fails most tests or could not be tested (an EIII score of 0-69),The national portal fails many tests (an EIII score of 70-84),The national portal fails some tests (an EIII score of 85-94),The national portal fails few tests (an EIII score of 95-99),The national portal fails no tests (an EIII score of 100),,
4.2.1,Privacy regulations,0,2,,0.285714286,"Qualitative rating 0-2, 2=best",EIU,Does the country have data protection law(s) and are there legal or financial penalties in place for firms that do not follow the law?,"Lack of clear privacy regulations can limit adoption if users feel their data and personal information is not secure online. Therefore it is important that the country has privacy laws, which enables users to know what is legally acceptable within the country.",Yes,3,0,2,,2,0,"No, the country does not have data protection law(s)","Yes, the country does have data protection law(s) but there are no legal or financial penalties in place for firms that do not follow the law","Yes, the country does have data protection law(s) and there are legal or financial penalties in place for firms that do not follow the law",,,,
4.2.2,Trust in online privacy,0,100,,0.142857143,%,EIU,How confident are you that your activity online is private?,Ranked by responses indicating 'Somewhat confident' and 'Very confident',Yes,2,,,,1,1,,,,,,,
4.2.3,Trust in Government websites and apps,0,100,,0.142857143,%,EIU,To what extent do you trust the information you receive from the following sources online? - 'Government websites / apps.' Ranked by responses indicating 'Mostly' and 'Completely',Ranked by responses indicating 'Mostly' and 'Completely',Yes,2,,,,1,1,,,,,,,
4.2.4,Trust in Non-government websites and apps,0,100,,0.142857143,%,EIU,To what extent do you trust the information you receive from the following sources online? - 'Non-government websites / apps that are based in my country.',Ranked by responses indicating 'Mostly' and 'Completely',Yes,2,,,,1,1,,,,,,,
4.2.5,Trust in information from social media,0,100,,0.142857143,%,EIU,To what extent do you trust the information you receive from the following sources online? - 'Other people using social media.' ,Ranked by responses indicating 'Mostly' and 'Completely',Yes,2,,,,1,1,,,,,,,
4.2.6,e-Commerce safety,0,100,,0.142857143,%,EIU,To what extent do you agree with the following statements? - 'Making purchases online is safe and secure.',Ranked by responses indicating 'Somewhat agree' and 'Strongly agree',Yes,2,,,,1,1,,,,,,,
4.3.1a,National female e-inclusion policies: Comprehensive female e-inclusion plan,0,2,,0.05128205133,"Qualitative rating 0-2, 2=best",EIU,Does the government have an active plan or strategy to promote Internet access and e-inclusion for females?,"Assesses whether strategies addressing e-inclusion of females exist that help address gender digital divides. The indicator will examine whether e-inclusion strategies exist that address female Internet access and adoption. Countries that score a 2 on this indicator have gender parity or a gender gap that is below the 10% threshold, regardless of an e-inclusion plan targeting women. Countries that score a 1 on this indicator have an e-inclusion policy but the gender gap is above the 10% threshold. The EIU determined that the scoring thresholds should be based on a gender gap ratio of at least 10% based on data analysis as well as metrics used by ITU and GSMA to measure the gender gap.",Yes,3,0,2,,2,0,"No, the government does not have an active plan or strategy to promote internet access and e-inclusion for females, and the gender gap in internet access is greater than 10%","Yes, the government has an active plan or strategy to promote internet access and e-inclusion for females, but the gender gap in internet access is greater than 10%","Yes, the government has an active plan or strategy to promote internet access and e-inclusion for females, and / or there is gender parity or the gap between male and female internet access is less than 10%",,,,
4.3.1b,National female e-inclusion policies: Female digital skills training plan,0,1,,0.05128205133,"Qualitative rating 0-1, 1=best",EIU,Does the government have an action plan to provide digital skills training for women?,Assesses whether strategies addressing e-inclusion of females exist that help address gender digital divides. The indicator will examine whether e-inclusion strategies exist that address digital skills training for women.,Yes,3,0,1,,2,0,"No, the government does not have an action plan or strategy to provide digital skills training for women","Yes, the government has an action plan or strategy to provide digital skills training for women",,,,,
4.3.1c,National female e-inclusion policies: Female STEM education plan,0,1,,0.05128205133,"Qualitative rating 0-1, 1=best",EIU,Does the government have a policy in place that encourages women and girls to study STEM?,Assesses whether policies or government initiatives exist that encourage the study of STEM fields for females. ,Yes,3,0,1,,2,0,"No, the government does not have a policy to promote STEM education for females","Yes, the government has a policy to promote STEM education for females",,,,,
4.3.2,Government e-inclusion strategy,0,2,,0.153846154,"Qualitative rating 0-2, 2=best",EIU,Does the government have any current initiatives or strategies in place that address e-inclusion _ the inclusion and promotion of Internet access for underserved groups?,Assesses whether the country has any initiatives or plans that address e-inclusion. Underserved groups include: Elderly; Youth; Low-income; Women; Ethnic minorities; Disabled.,Yes,3,0,2,,2,0,The government does not have any current initiatives or strategies in place that address Internet access for underserved groups,The government has current initiatives or strategies in place that address Internet access for 1-2 underserved groups,The government has current initiatives or strategies in place that address Internet access for more than 3 underserved groups,,,,
4.3.3,National broadband strategy,0,3,,0.153846154,"Qualitative rating 0-3, 3=best",EIU,Does the government have a current national broadband strategy?,"Assesses whether or not the country has a current national broadband strategy. _Current_ means that the national strategy has been published or updated within the past two years or within the past five years, with a higher score being give to the former. Note: This indicator was updated in the fourth edition. Whereas the indicator previously assessed the presence of a national broadband strategy and whether or not the strategy included a target penetration rate, it now assesses the status of a national broadband strategy (i.e., is there a strategy and is it current?) that is technology neutral (i.e., the strategy may emphasize fixed broadband or mobile broadband, or both).",NO,3,0,3,,2,0,"No, the government does not have a national broadband strategy","Yes, the government has a national broadband strategy, but it was not published within the past 5 years","Yes, the government has a national broadband strategy that was published within the past 5 years","Yes, the government has a national broadband strategy that was published within the past 2 years",,,
4.3.4,Funding for broadband buildout,0,1,,0.153846154,"Qualitative rating 0-1, 1=best",EIU,Do government programs exist to help subsidize or provide incentives for broadband buildout in underserved areas?,"Assesses whether the country has an active government program(s) that helps subsidize or incentivize the buildout of broadband networks. Revised from an indicator only looking at Universal Service Funds (USF) as a method for improving broadband buildout, this indicator expands the scope of the question by addressing other financing options including USFs, in addition to tax credits, low-interest loans, and other government funding sources. This indicator helps address the principle that all citizens should have access to a baseline level of telecommunications services within a country.",Yes,3,0,1,,2,0,"No, government programs do not exist to help subsidize or provide incentives for broadband buildout in underserved areas","Yes, government programs exist to help subsidize or provide incentives for broadband buildout in underserved areas",,,,,
