id,description,invert,diverging,type,weighting,min,max,unit,source,long-description,notes,zero,one,two,three,four,five,six
1.3.6,Private sector initiatives to make Wi-Fi available,,,,0.12,0,2,"Qualitative rating 0-2, 2=best",Economist Impact country research,Does the largest privately-owned ISP provide public Wi-Fi access to its customers in the largest city in the country and is it free to connect to?,"Assesses whether the network is free to join or not and whether the public Wi-Fi is available to anyone (general population, tourists, etc.) or just to customers of the largest ISP in the country. The largest ISP means the largest private-sector run ISP, not state-owned. ""Public"" means that the Wi-Fi network and associated hotspot(s) must be accessible in a public park, library, public building, airport, train or ferry terminal.  ""Largest city"" means largest city in the country by population.","No, the largest privately-owned ISP does not provide public Wi-Fi access in the largest city in the country, nor does any other privately-owned ISP","Yes, either the largest privately-owned ISP or other privately-owned ISPs do provide public Wi-Fi access in the largest city in the country","Yes, either the largest privately-owned ISP or other privately-owned ISPs do provide public Wi-Fi access in the largest city in the country and it is free",,,,
1.3.7,Unlicensed spectrum policy,,,,0.138,0,3,"Qualitative rating 0-3, 3=best",Economist Impact country research,Does the country have a policy that addresses using unlicensed spectrum for greater Wi-Fi access?,"Assesses the country's ability to expand broadband connectivity by way of assessing the country's openness to provisioning unlicensed spectrum for greater Wi-Fi access and other productive uses. Higher prices, poorer service, lost productivity, loss of competitive advantage and untapped innovation can all be outcomes of preventing flexibility. Note: This indicator has changed in the fifth edition of the index, and scores have been estimated for the fourth edition. Current edition data is not compatible with data from previous editions.","No, the government does not have a policy that makes unlicensed spectrum available for Wi-Fi access or other wireless broadband access","Yes, the government has a policy that makes unlicensed spectrum available for Wi-Fi access in the 2.4 GHz and 5 GHz bands","Yes, the government has a policy that makes unlicensed spectrum available for Wi-Fi access in the 6Ghz band","Yes, the government has a policy that makes unlicensed spectrum available for wireless broadband access (e.g., at the 60GHz band for fixed wireless, unlicensed cellular, microwave backhaul, and WiGig, or at the UHF 700 MHz band for ‘tv whitespace’ broadband)",,,
1.3.8,Internet exchange points,,,,0.15,0,15.2,Number of IXPs per 10 million inhabitants,"Liberia IXP Association; PCH;Economist Impact; PeeringDB; PeeringDB;Economist Impact; Telegeography; Telegeography,Economist Impact; Telegeography;Economist Impact",Measures the number of Internet exchange points (IXPs) in each country,IXPs are physical network access point through which major network providers connect their networks and exchange traffic. This indicator accounts for only those IXPs that are considered active.,,,,,,,
1.4,Electricity,,,calculated,0.25,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,Electricity measures the basic infrastructure necessary to support Internet connectivity.,,,,,,,,
1.4.1,Urban electricity access,,,,0.5,16.4,100,% of population,IEA; WEO-IEA; World Bank; World Energy Council,Urban electrification rate (%),"Access to electricity is calculated as the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.",,,,,,,
1.4.2,Rural electricity access,,,,0.5,0.36,100,% of population,IEA; WEO-IEA; World Bank; World Energy Council,Rural electrification rate (%),"Access to electricity is calculated as the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.",,,,,,,
2,Affordability,,,calculated,0.3,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,The Affordability category examines the cost of access relative to income and the level of competition in the Internet marketplace.,,,,,,,,
2.1,Price,,,calculated,0.6666666667,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,Price measures the cost of Internet access relative to income.,,,,,,,,
2.1.1,Smartphone cost (handset),,,,0.25,0,100,"Score of 0-100, 100=most affordable",Economist Impact estimate; GSMA,"Indexed scores of the price of an entry-level handset to the consumer, as a percentage of GNI per capita.","Assesses the cost of an entry-level handset that is internet-enabled, expressed as a percentage of monthly GNI per capita. Note: This indicator is based on the Mobile Connectivity Index, developed by GSMA.",,,,,,,
2.1.2,Mobile phone cost (prepaid tariff),true,,,0.25,0,65,% of monthly GNI per capita,"A4AI; Economist Impact estimate; ITU, Directorate General of Budget, Accounting and Statistics of Taiwan,Economist Impact; ITU, World Bank; Research ICT Solutions, Directorate General of Budget, Accounting and Statistics of Taiwan,Economist Impact; Research ICT Solutions, World Bank,Economist Impact","Price of prepaid mobile data plan, 1 GB, as a percentage of monthly income","Monthly cost of a 1 GB prepaid mobile broadband data plan, expressed as a percentage of monthly GNI per capita.<br>Note: This indicator was updated in the fourth edition to capture the cost of a 1 GB plan. It previously captured the cost of a 500 MB plan. Scores for previous editions of this indicator have been backscored to reflect this change in the fifth edition.",,,,,,,
2.1.3,Mobile phone cost (postpaid tariff),true,,,0.25,0,65,% of monthly GNI per capita,"Economist Impact estimate; Economist Impact, Research ICT Solutions; Economist Impact; ITU; Economist Impact; ITU; Directorate General of Budget, Accounting and Statistics of Taiwan; ITU; ITU, Directorate General of Budget, Accounting and Statistics of Taiwan,Economist Impact","Price of postpaid mobile data plan, 1 GB, as a percentage of monthly income","Monthly cost of a 1 GB postpaid mobile broadband data plan, expressed as a percentage of monthly GNI per capita.<br>Note: This indicator was updated in the fourth edition to capture the cost of a 1 GB plan. It previously captured the cost of a 500 MB plan. Scores for previous editions of this indicator have been backscored to reflect this change in the fifth edition.",,,,,,,
2.1.4,Fixed-line monthly broadband cost,true,,,0.25,0,350,% of monthly GNI per capita,"ITU; ITU, National Statistics, Republic of China (Taiwan); ITU, WB; National Statistics, Republic of China (Taiwan)",Price of fixed-line monthly broadband to the consumer as a percentage of monthly income,"Fixed (wired)-broadband monthly subscription charges refer to the monthly subscription charges for fixed (wired)-broadband Internet service in USD. Fixed (wired)-broadband is considered to be any dedicated connection to the Internet at downstream speeds equal to or greater than 256 kbit/s. If several offers are available, preference should be given to the 256 kbit/s connection.",,,,,,,
2.2,Competitive Environment,,,calculated,0.3333333333,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,Competitive environment measures the concentration of the marketplace for Internet service provision.,,,,,,,,
2.2.1,"Average revenue per user (ARPU, annualized)",true,,,0.2,3.7,590,USD,"Economist Impact estimate; Telegeography; Telegeography,Economist Impact",Average annual revenue per user (ARPU) for wireless operators,ARPU is the annual average revenue per user calculated over the given period (twelve months for annual data). ARPU is used to measure consumer spending on mobile services. This measure of ARPU is 'Blended’ which means that both pre-paid and post-paid subscribers are being counted in the metric. The metric includes data and voice.,,,,,,,
2.2.2,Wireless operators' market share,true,,,0.4,0,10000,"HHI score (0-10,000)",Telegeography,"Measures the market concentration among all wireless operators. Economist Impact calculates the Hirschman-Herfindahl Index which measures the concentration of markets as follows: HHI < 3,000 “unconcentrated”; HHI 3,000-4,000 “moderately concentrated”; HHI > 4,000 “highly concentrated”.","Wireless operators include those that provide 2G, 3G and 4G coverage via GSM, CDMA, W-CDMA, and LTE networks.",HHI>4000,HHI 3000-4000,HHI<3000,,,,
2.2.3,Broadband operators' market share,true,,,0.4,0,10000,"HHI score (0-10,000)","Economist Impact Estimate; Telegeography; Telegeography, Economist Impact","Measures the market concentration among all broadband operators. Economist Impact calculates the Hirschman-Herfindahl Index which measures the concentration of markets as follows: HHI < 3,000 “unconcentrated”; HHI 3,000-4,000 “moderately concentrated”; HHI > 4,000 “highly concentrated”.","Broadband operators include those that provide broadband via the following technologies: DSL, cable, fiber/LAN, and WiMax, and others (e.g. satellite, broadband over powerline).",HHI>4000,HHI 3000-4000,HHI<3000,,,,
3,Relevance,,,calculated,0.2,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,The Relevance category examines the existence and extent of local language content and relevant content.,,,,,,,,
3.1,Local Content,,,calculated,0.5,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,Local content measures the availability of Internet content in the local language(s).,,,,,,,,
3.1.1,Availability of local news in local languages,,,,0.4,0,4,"Qualitative rating 0-4, 4=best",Economist Impact country research,Does the country have any domestic news websites that provide information online in local languages?,"Assesses whether there is local news for the largest metropolitan area in local languages, including both official and non-official languages. For countries with more than one official language, the justification covers each of the official languages. Non-official languages may include native, indigenous or minority languages (e.g., immigrant populations) commonly spoken but not recognized as official languages. The availability of online news in non-official languages can help to empower native and minority communities to produce their own culturally and locally relevant online content. Audio or video content may attract different user groups and may be preferred by speakers of non-written languages or users with lower levels of comprehension or literacy. The frequency with which content is updated will also draw users online.<br>Note: This indicator has been updated in the fifth edition and was previously updated in the fourth edition. Scores for the fourth edition have been estimated based on the latest scoring guidelines. It was previously scored on a 0-3 scale. Scoring options have been modified to reward countries with online audio or video content in local languages as well as those that frequently update such content.","No, there are no websites that provide local news content in any official or non-official language(s)","Yes, there are websites that provide written local news content in some official or widely spoken language(s)","Yes, there are websites that provide written local news content in non-official or non-dominant language(s)","Yes, there are websites with audio or video content in local language(s)","Yes, there are websites that publish new local news content in local language(s) at least weekly",,
3.1.2,Concentration of websites using country-level domains,,,,0.2,0,3,"Qualitative rating 0-3, 3=best",Alexa Internet,What percent of websites in the top 25 most-visited websites use a ccTLD?,"Top-level domains (TLDs) are set forth by the international organization, ICANN. TLDs with two letters (such as .de, .mx, and .jp) have been established for over 250 countries and external territories and are referred to as ""country-code"" TLDs or ""ccTLDs"". Importantly the significance is that, according to ICANN, ccTLDs are delegated to ""designated managers, who operate the ccTLDs according to local policies that are adapted to best meet the economic, cultural, linguistic, and legal circumstances of the country or territory involved.""","No websites in the top 25 sites are local sites, or there is not enough data to determine the number of local sites",1-2 websites out of the top 25 are local sites,3-5 websites out of the top 25 are local sites,More than 5 of the top 25 websites are local sites,,,
3.1.3,Availability of e-Government services in the local language,,,,0.4,0,2,"Qualitative rating 0-2, 2=best",Economist Impact country research,"Does the government of the largest city in the country have a website that offers transactional services, including applying for a business license or permit?","Assesses whether there is a local government website available for the largest city in the country and whether the site offers transactional services that can include: applying for any type of license or permit, registering for programs/services and paying bills and fees. If the city website provides downloadable applications, but the process is not entirely online, the country scores a 1. In order to score a 2, the entire process must be online.","No, the government of the largest city in the country does not have a website","Yes, the government of the largest city in the country does have a website but it does not allow for conducting transactional services online","Yes, the government of the largest city in the country does have a website and it does allow for conducting transactional services online",,,,
3.2,Relevant Content,,,calculated,0.5,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,"Relevant content measures the availability of news, finance, health, entertainment and business information. While the definition of ""relevant"" can vary, these types of content are common. ""e-Content"" refers to electronic or mobile content.",,,,,,,,
3.2.1,e-Finance content,,,,0.125,0,2,"Qualitative rating 0-2, 2=best",Economist Impact country research,Does the largest retail banking institution offer online banking services?,"Assesses whether online banking services are offered by the largest retail bank by number of customers (retail and corporate). Online banking services must include, at a minimum, account access to view balances and transactions. In this question, online is synonymous with mobile.","No, the largest retail banking institution does not offer online banking services","Yes, the largest retail banking institution does offer basic online banking services","Yes, the largest retail banking institution does offer basic and advanced online banking services",,,,
3.2.2,Value of e-finance,,,,0.0625,12,86,%,Economist Impact estimate; Economist Impact survey,Which of the following forms of useful information have you accessed via the internet at least once in the last year?,Ranked by responses indicating 'Information about personal finance',,,,,,,
3.2.3,e-Health content,,,,0.125,0,3,"Qualitative rating 0-3, 3=best",Economist Impact country research,Does the Ministry of Health in the country have a website that provides information or links to information regarding healthcare?,"Assesses the existence of online healthcare information, and whether e-Health services are provided online (e.g., the ability to sign up for insurance, search for a doctor, etc.). Healthcare information topics may include: vaccinations and immunizations, tobacco-free living; preventing drug and alcohol abuse; healthy lifestyles; reproductive health; mental and emotional well-being.<br>Note: This indicator was updated in the fourth edition. Whereas the indicator previously assessed availability of information on “disease prevention and wellness”, it now assesses availability of information “regarding healthcare” and also includes an additional assessment of e-Health services provision.","No, the Ministry of Health does not have a website","Yes, the Ministry of Health has a website that provides limited information and/or links to information regarding healthcare","Yes, the Ministry of Health has a website that provides information and/or links to information regarding healthcare","Yes, the Ministry of Health has a website that provides information and/or links to information regarding healthcare and also offers e-Health services (e.g. insurance enrolment, healthcare provider search, interactive mobile app)",,,
3.2.4,Value of e-health,,,,0.0625,20,88,%,Economist Impact estimate; Economist Impact survey,Which of the following forms of useful information have you accessed via the internet at least once in the last year?,Ranked by responses indicating 'Information about health and fitness',,,,,,,
3.2.5,e-Entertainment usage,,,,0.0625,64,100,%,Economist Impact estimate; Economist Impact survey,How often do you use the internet for entertainment purposes?,"Ranked by responses indicating 'Several times a day', 'Every day' and 'Several times a week'",,,,,,,
3.2.6,e-Commerce content,,,,0.125,11.7,96.4,"Score of 0-100, 100=best",Economist Impact estimate; UNCTAD,"Seeks to measure the availability – and extent of – electronic commerce (e-commerce) in the country, which can serve both as a service to buy products but also to sell them.","Greater availability of online services is generally seen as improving chances for adoption.<br><br>Note: This indicator is based on the B2C E-Commerce Index, developed by UNCTAD. Given changes to the B2C E-Commerce Index over time (e.g., addition or removal of countries from year to year), scores for countries may not be directly comparable between different iterations. As a result, YoY comparisons for this indicator are not available in the Inclusive Internet Index.",,,,,,,
3.2.7,Value of e-Commerce,,,,0.0625,6,100,%,Economist Impact estimate; Economist Impact survey,How often do you purchase goods via the internet?,Ranked by responses indicating 'About once a month',,,,,,,
3.2.8,Open data policies,,,,0.125,0,2,"Qualitative rating 0-2, 2=best",Economist Impact country research,Does the government have an open data policy that applies to public sector data?,"Assesses whether the government has a formal open data policy that applies to the public sector (i.e. the government makes public sector data—both public and publicly-funded data—publicly available to the general population), and whether the government has an open data website/platform that centralizes this data. Examples of an open data website/platform include https://www.data.gov/ (United States), https://data.gov.in/ (India), https://datos.gob.ar/ (Argentina).<br><br>Note: This indicator was included for the first time in the fourth edition.","No, the government does not have an open data policy that applies to public sector data, and it has not developed or supported an open data website/platform","Yes, the government has an open data policy that applies to public sector data OR it has developed or supports an open data website/platform, but not both","Yes, the government has an open data policy that applies to public sector data AND has it has developed or supports an open data website/platform",,,,
3.2.9,Value of e-education,,,,0.125,12,80.4,%,Economist Impact; Economist Impact survey,How satisfied are you with the quality of the online education services?,Ranked by responses indicating quality of online education services.,,,,,,,
3.2.10,E-education in local languages,,,,0.125,0,3,"Qualitative rating 0-3, 3=best",Economist Impact country research,"Does the country have an online education platform for primary, secondary, and tertiary/vocational levels that provides learning opportunities in local official languages?",,"No, there is no online education platform that provides education services in local official languages","Yes, there is an online education platform that provides education services in local official languages for one of the following: primary, secondary, and/or tertiary/vocational education","Yes, there is an online education platform that provides education services in local official languages for two of the following: primary, secondary, and/or tertiary/vocational education","Yes, there is an online education platform that provides education services in local official languages for all of the following: primary, secondary, and/or tertiary/vocational education",,,
4,Readiness,,,calculated,0.1,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,"The Readiness category examines the capacity to access the Internet, including skills, cultural acceptance, and supporting policy.",,,,,,,,
4.1,Literacy,,,calculated,0.3333333333,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,Literacy measures the level of education and preparedness to use the Internet.,,,,,,,,
4.1.1,Level of literacy,,,,0.25,30.8,100,% of population,Economist Impact; Economist Impact estimate; UNESCO,"Literate population over 15, expressed as a percentage of the total population","Assesses the extent of literacy within countries. In order to use the Internet for useful purposes, such as to read news, access health or educational information, people must have the ability to read.",,,,,,,
4.1.2,Educational attainment,,,,0.25,1.4,14.2,Years of schooling,Barro and Lee; Pew Research Center; UNDP,Mean years of schooling (ISCED 1 or higher),Assesses educational attainment through average years of schooling (ISCED 1 or higher). Many studies show that adoption is higher among highly educated population groups.,,,,,,,
4.1.3,Support for digital literacy,,,,0.25,0,3,"Qualitative rating 0-3, 3=best",Economist Impact country research,Does the government have a plan or strategy that addresses digital literacy for students and training for teachers?,"Assesses the existence of a strategy that supports digital literacy whereby the government plan or strategy should address courses in ICT skills, computer science, programming, or other classes where computers are mandatory in the curriculum. The plan or strategy must also address training teachers on ICT skills.","No, the government does not have a plan or strategy that addresses digital literacy for students and training for teachers","Yes, the government's plan or strategy addresses digital literacy for students, but it does not include training for teachers or the plan is outdated","Yes, the government's plan or strategy is current, addresses digital literacy for students and includes training for teachers","Yes, the government's plan or strategy is current, addresses digital literacy for students and includes training for teachers and is introduced at the primary school level",,,
4.1.4,Level of web accessibility,,,,0.25,0,4,"Qualitative rating 0-4, 4=best",Economist Impact,Does the national government website pass W3C guidelines on web accessibility?,"Assesses whether the main national government website is compliant. People with disabilities, such as sight impairment, may not be able to use websites if they are not accessible and adaptive. Being compliant with W3C guidelines, an international standard, greatly enhances the chance they can use websites.",The national portal fails most tests or could not be tested (an EIII score of 0-69),The national portal fails many tests (an EIII score of 70-84),The national portal fails some tests (an EIII score of 85-94),The national portal fails few tests (an EIII score of 95-99),The national portal fails no tests (an EIII score of 100),,
4.2,Trust & Safety,,,calculated,0.3333333333,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,Trust & Safety measures Internet safety and cultural acceptance of the Internet.,,,,,,,,
4.2.1,Privacy regulations,,,,0.2857142857,0,2,"Qualitative rating 0-2, 2=best",Economist Impact country research,Does the country have data protection law(s) and are there legal or financial penalties in place for firms that do not follow the law?,"Lack of clear privacy regulations can limit adoption if users feel their data and personal information is not secure online. Therefore it is important that the country has privacy laws, which enables users to know what is legally acceptable within the country.","No, the country does not have data protection law(s)","Yes, the country does have data protection law(s) but there are no legal or financial penalties in place for firms that do not follow the law","Yes, the country does have data protection law(s) and there are legal or financial penalties in place for firms that do not follow the law",,,,
4.2.2,Trust in online privacy,,,,0.1428571429,14,96,%,Economist Impact estimate; Economist Impact survey,How confident are you that your activity online is private?,Ranked by responses indicating 'Somewhat confident' and 'Very confident',,,,,,,
4.2.3,Trust in Government websites and apps,,,,0.1428571429,18,98,%,Economist Impact estimate; Economist Impact survey,To what extent do you trust the information you receive from the following sources online? - 'Government websites / apps.' Ranked by responses indicating 'Mostly' and 'Completely',Ranked by responses indicating 'Mostly' and 'Completely',,,,,,,
4.2.4,Trust in Non-government websites and apps,,,,0.1428571429,8,98,%,Economist Impact estimate; Economist Impact survey,To what extent do you trust the information you receive from the following sources online? - 'Non-government websites / apps that are based in my country.',Ranked by responses indicating 'Mostly' and 'Completely',,,,,,,
4.2.5,Trust in information from social media,,,,0.1428571429,4,84,%,Economist Impact estimate; Economist Impact survey,To what extent do you trust the information you receive from the following sources online? - 'Other people using social media.',Ranked by responses indicating 'Mostly' and 'Completely',,,,,,,
4.2.6,e-Commerce safety,,,,0.1428571429,27.1,93.6,%,Economist Impact estimate; Economist Impact survey,To what extent do you agree with the following statements? - 'Making purchases online is safe and secure.',Ranked by responses indicating 'Somewhat agree' and 'Strongly agree',,,,,,,
4.3,Policy,,,calculated,0.3333333333,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,Policy measures the existence of national strategies that promote the safe and widespread use of the Internet.,,,,,,,,
